通し番号	章	章内の通番	英単語	品詞	訳
1	U5	1	presentation	名	発表
2	U5	2	suggestion	名	提案
3	U5	3	T-shirt	名	Tシャツ
4	U5	4	contest	名	競技会
5	U5	5	fair	形	公正な, 公平な
6	U5	6	trade	名	取引
7	U5	7	product	名	製品
8	U5	8	explain	動	説明する
9	U5	9	cotton	名	木綿
10	U5	10	mainly	副	主に
11	U5	11	developing	形	発展途上の
12	U5	12	farmer	名	農家
13	U5	13	income	名	収入
14	U5	14	company	名	会社, 仲間
15	U5	15	low	形	低い
16	U5	16	cheaply	副	安く
17	U5	17	solve	動	解く、解決する
18	U5	18	earn	動	稼ぐ
19	U5	19	enough	形	十分な、必要なだけの
20	U5	20	sustainable	形	持続可能な
21	U5	21	production	名	生産
22	U5	22	make a suggestion	句	提案する
23	U5	23	enough ... to ~	句	〜するのに十分な…
24	U5	24	in this way	句	このようにして
25	U5	25	make a choice	句	選択する
26	U5	26	Korean	形	韓国の
27	U5	27	cushion	名	クッション
28	U5	28	accessory	名	装飾品, 付属品
29	U5	29	affect	動	影響する
30	U5	30	producer	名	生産者, 制作者
31	U5	31	distant	形	遠く離れた
32	U5	32	challenging	形	困難な、力が試されるような
33	U5	33	rewarding	形	やりがいのある
34	U5	34	admire	動	感心する、尊敬する
35	U5	35	come true	句	本当になる、実現する
36	U5	36	recommend	動	勧める
37	U5	37	adventure	名	冒険
38	U5	38	pirate	名	海賊
39	U5	39	sail	動	船で行く
40	U5	40	memorable	形	記憶すべき、記憶に残る
41	U5	41	particular	名	項目, 細部
42	U5	42	eye-opener	名	目を見張らせる出来事
43	U5	43	viewpoint	名	見方, 観点
44	U5	44	responsibility	名	責任
45	U5	45	across	前	〈何かに〉偶然出くわして
46	U5	46	interest	動	興味を引く
47	U5	47	career	名	生涯の仕事, 職業
48	U5	48	in the past ~ years	句	この〜年で
49	U5	49	in particular	句	特に、とりわけ
50	U5	50	get to know ~	句	〜と知り合いになる
51	U5	51	care for ~	句	〜の世話をする
52	U5	52	come across ~	句	〜をふと見つける
53	U5	53	lead to ~	句	〜につながる
54	U5	54	Spanish	名	スペイン語
55	U5	55	education	名	教育
56	U5	56	Africa	名	アフリカ
57	U5	57	poverty	名	貧困
58	U5	58	instead	副	その代わりに
59	U5	59	housework	名	家事
60	U5	60	graph	名	グラフ
61	U5	61	percentage	名	百分率, 割合
62	U5	62	region	名	地域
63	U5	63	marriage	名	結婚
64	U5	64	marry	動	結婚する
65	U5	65	instead of ~	句	〜の代わりに、〜ではなく
66	U5	66	Ethiopia	名	エチオピア
67	U5	67	Guinea	名	ギニア
68	U5	68	Mali	名	マリ
69	U5	69	Chad	名	チャド
70	U5	70	Niger	名	ニジェール
71	U5	71	central	形	中央にある
72	U5	72	Asia	名	アジア
73	U5	73	southeast	名	南東
74	U5	74	million	名	100万
75	U5	75	throughout	前	〜のいたるところで、〜中ずっと
76	U5	76	electricity	名	電力, 電気
77	U5	77	plus	接	その上、しかも
78	U5	78	have access to ~	句	〜を利用することができる
79	DL4	1	Bali	名	バリ
80	DL4	2	campaign	名	キャンペーン
81	DL4	3	recycle	動	再生利用する
82	DL4	4	plastic	名	プラスチック
